Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	1.143378	0.974007	0.041771	0.045157	0.021331	0.023100
2	0.731305	0.787600	0.041781	0.045155	0.021336	0.023099
3	0.644076	0.722060	0.041781	0.045154	0.021336	0.023099
4	0.593474	0.672780	0.041777	0.045155	0.021334	0.023099
5	0.554856	0.648800	0.041774	0.045154	0.021333	0.023099
6	0.519586	0.627757	0.041771	0.045147	0.021331	0.023095
7	0.496090	0.616563	0.041770	0.045143	0.021330	0.023093
8	0.486456	0.602198	0.041768	0.045148	0.021329	0.023095
9	0.448882	0.574107	0.041767	0.045144	0.021329	0.023093
10	0.453814	0.591103	0.041771	0.045141	0.021331	0.023092
