Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.884725	0.664220	0.535502	0.599946	0.365656	0.428516
2	0.600363	0.519994	0.649406	0.701193	0.480830	0.539875
3	0.420195	0.333693	0.774963	0.828780	0.632604	0.707622
4	0.267017	0.235772	0.877834	0.907240	0.782267	0.830227
5	0.200642	0.190057	0.921632	0.925930	0.854654	0.862075
6	0.167976	0.163102	0.934063	0.937067	0.876284	0.881586
7	0.151674	0.145179	0.939599	0.940262	0.886079	0.887258
8	0.134723	0.130103	0.945635	0.946802	0.896877	0.898979
9	0.125619	0.122738	0.949171	0.949811	0.903258	0.904420
10	0.116901	0.118117	0.952721	0.950690	0.909711	0.906015
11	0.108043	0.109090	0.956250	0.955394	0.916168	0.914597
12	0.101325	0.102551	0.959267	0.958731	0.921722	0.920733
13	0.095419	0.097532	0.961669	0.960672	0.926169	0.924321
14	0.090566	0.096719	0.963822	0.961253	0.930170	0.925397
15	0.096123	0.096135	0.961342	0.962235	0.925561	0.927218
16	0.085447	0.099148	0.965662	0.959828	0.933605	0.922759
