Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.617987	0.455521	0.803009	0.852879	0.443531	0.517182
2	0.333650	0.367206	0.897086	0.884751	0.607558	0.611083
3	0.280737	0.332091	0.911897	0.897306	0.658508	0.642004
4	0.251126	0.311788	0.919848	0.904525	0.682453	0.664473
5	0.234364	0.296055	0.924226	0.909872	0.695381	0.680619
6	0.220399	0.284474	0.927683	0.912759	0.704705	0.685575
7	0.210196	0.303166	0.930483	0.912401	0.710475	0.690761
8	0.196212	0.285545	0.934366	0.915045	0.719225	0.694969
9	0.195809	0.286475	0.934476	0.914946	0.718555	0.701242
10	0.180260	0.294637	0.939197	0.913690	0.727705	0.702486
11	0.172490	0.294751	0.941209	0.916376	0.731306	0.703849
12	0.163632	0.291131	0.944210	0.918319	0.735855	0.706286
13	0.165320	0.286000	0.943354	0.916985	0.735449	0.709473
14	0.154522	0.295951	0.946752	0.915510	0.739217	0.704383
