Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.772478	0.691957	0.744281	0.793541	0.331376	0.419920
2	0.524575	0.628611	0.833152	0.808719	0.446704	0.459951
3	0.476242	0.606615	0.845625	0.812045	0.478302	0.461535
4	0.448416	0.606243	0.852971	0.816969	0.492464	0.480650
5	0.424932	0.565652	0.860700	0.820750	0.500927	0.471108
6	0.404156	0.561365	0.866536	0.838153	0.507303	0.483457
7	0.380187	0.530987	0.874240	0.845485	0.516688	0.488239
8	0.362977	0.540371	0.879408	0.840323	0.522753	0.476660
9	0.349689	0.559925	0.883176	0.843416	0.528147	0.485060
10	0.334669	0.567358	0.887575	0.847686	0.534714	0.485432
