Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.719755	0.559913	0.766635	0.823379	0.391590	0.470047
2	0.426942	0.490437	0.865828	0.844359	0.528713	0.531073
3	0.382022	0.471212	0.878217	0.850990	0.559077	0.553988
4	0.351987	0.454571	0.886214	0.857242	0.580272	0.568284
5	0.328428	0.450579	0.892739	0.862126	0.596328	0.578316
6	0.308305	0.448292	0.898159	0.866823	0.608880	0.587094
7	0.291883	0.446063	0.902692	0.870876	0.618440	0.591843
8	0.282538	0.434383	0.905195	0.871813	0.622523	0.590865
9	0.267998	0.445844	0.909762	0.874008	0.629627	0.594246
10	0.253615	0.438941	0.914659	0.875059	0.635090	0.590824
11	0.244068	0.454424	0.917521	0.877505	0.640747	0.594820
