Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.722596	0.568316	0.768149	0.823759	0.389429	0.457011
2	0.428147	0.499499	0.865793	0.843857	0.522681	0.523163
3	0.381181	0.467981	0.878535	0.852883	0.557269	0.550332
4	0.349993	0.447200	0.886963	0.859847	0.579682	0.566093
5	0.325896	0.433097	0.893695	0.865460	0.595263	0.576498
6	0.306073	0.423659	0.899085	0.869254	0.607640	0.582677
7	0.289178	0.407863	0.903600	0.873411	0.617196	0.590696
8	0.275551	0.425492	0.907683	0.871048	0.623494	0.579164
9	0.270523	0.415804	0.909116	0.872826	0.626931	0.585879
10	0.257421	0.423826	0.913193	0.877579	0.632116	0.597166
11	0.247553	0.415828	0.916388	0.876776	0.636754	0.592133
12	0.240737	0.432043	0.918603	0.876713	0.641452	0.591884
