Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.691106	0.552979	0.780500	0.823588	0.401924	0.459139
2	0.421328	0.475739	0.867577	0.846652	0.529557	0.530792
3	0.374979	0.453755	0.880089	0.853890	0.563605	0.553179
4	0.344319	0.436554	0.888306	0.861116	0.585012	0.570073
5	0.321956	0.431218	0.894334	0.863643	0.600289	0.579072
6	0.301470	0.422463	0.899878	0.868531	0.612679	0.587802
7	0.286757	0.410315	0.904085	0.872343	0.620505	0.593357
8	0.275140	0.430350	0.908096	0.870929	0.625836	0.593070
9	0.260987	0.422857	0.912104	0.872633	0.633007	0.594875
10	0.254504	0.422303	0.914436	0.872291	0.635897	0.592193
11	0.240532	0.435181	0.918705	0.874196	0.642061	0.594327
