Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.710120	0.576644	0.772956	0.816515	0.391009	0.442841
2	0.435789	0.502471	0.863352	0.840217	0.507533	0.516028
3	0.385569	0.474447	0.877219	0.849028	0.555999	0.546058
4	0.351526	0.453663	0.886385	0.856809	0.580843	0.565435
5	0.327718	0.442042	0.892950	0.861869	0.596267	0.576642
6	0.307074	0.428011	0.898583	0.866310	0.608674	0.583529
7	0.290409	0.423572	0.903142	0.868466	0.616969	0.586786
8	0.287589	0.436966	0.903984	0.870099	0.616446	0.585732
9	0.269523	0.430343	0.909596	0.871948	0.626712	0.585440
10	0.257922	0.413005	0.913340	0.875106	0.633128	0.589650
11	0.250873	0.389439	0.915600	0.879602	0.636207	0.596486
12	0.240262	0.384994	0.918841	0.880127	0.640617	0.592741
13	0.237291	0.404512	0.919478	0.878378	0.643748	0.592945
14	0.224654	0.414092	0.923527	0.874510	0.648945	0.585169
15	0.217704	0.438370	0.925827	0.873850	0.652776	0.585290
16	0.205312	0.406724	0.929671	0.876562	0.658243	0.588801
17	0.200101	0.460106	0.931185	0.871789	0.661731	0.582651
18	0.207794	0.410451	0.928694	0.877532	0.659378	0.588408
19	0.192206	0.448706	0.933573	0.882346	0.666878	0.593445
20	0.186794	0.459663	0.935289	0.874058	0.669959	0.581444
21	0.183278	0.472381	0.936316	0.884028	0.672562	0.601093
22	0.179392	0.460865	0.937511	0.884609	0.674304	0.600514
23	0.175250	0.460146	0.938672	0.882030	0.676534	0.596869
24	0.174510	0.461050	0.938795	0.883884	0.676983	0.599454
25	0.173176	0.498577	0.939183	0.885686	0.678523	0.601301
26	0.166826	0.474174	0.941106	0.884068	0.682045	0.596096
27	0.166075	0.445487	0.941332	0.884760	0.683304	0.594274
28	0.161159	0.493640	0.942885	0.886152	0.685541	0.594355
29	0.158295	0.504432	0.943689	0.886340	0.687637	0.596445
