Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.723430	0.571471	0.765945	0.817473	0.395478	0.452439
2	0.440543	0.497999	0.861964	0.839808	0.520871	0.500518
3	0.391178	0.466386	0.875750	0.849337	0.554767	0.524937
4	0.358494	0.437708	0.884486	0.857416	0.576485	0.543974
5	0.333568	0.422746	0.891270	0.863471	0.592720	0.558492
6	0.313697	0.420276	0.896809	0.866446	0.604951	0.567218
7	0.294712	0.406996	0.902164	0.870361	0.615071	0.575121
8	0.286779	0.415036	0.904850	0.871714	0.619214	0.581749
9	0.270186	0.423772	0.909702	0.873278	0.626952	0.584451
10	0.267653	0.428391	0.910792	0.870757	0.630021	0.585415
11	0.256998	0.412766	0.913609	0.875857	0.634219	0.592478
12	0.243718	0.410889	0.917771	0.877651	0.641618	0.597574
13	0.231662	0.427631	0.921564	0.877016	0.646438	0.593722
14	0.220814	0.416503	0.924971	0.875718	0.652561	0.596113
15	0.216469	0.429323	0.926221	0.878354	0.654457	0.594889
16	0.215860	0.426962	0.926130	0.876150	0.655168	0.595907
17	0.204031	0.458696	0.930032	0.881012	0.661185	0.594994
18	0.200522	0.457298	0.930995	0.883690	0.663313	0.592728
19	0.193321	0.493152	0.933270	0.885472	0.666643	0.598976
20	0.187723	0.470867	0.934953	0.884202	0.669130	0.595161
21	0.183042	0.487245	0.936507	0.884518	0.672876	0.599187
22	0.190250	0.483888	0.934010	0.882387	0.670183	0.595726
23	0.179508	0.526341	0.937483	0.885959	0.674087	0.604109
24	0.172750	0.480625	0.939656	0.884425	0.679079	0.603725
25	0.167379	0.502122	0.941234	0.884891	0.682819	0.605964
26	0.164868	0.514334	0.941901	0.881278	0.684083	0.604544
27	0.195144	0.427228	0.932444	0.883644	0.672111	0.602784
28	0.171872	0.472887	0.939596	0.888770	0.681353	0.607234
29	0.156145	0.487241	0.944680	0.887780	0.690222	0.607606
30	0.148783	0.512809	0.947043	0.887863	0.695290	0.607617
