Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.727652	0.559835	0.767036	0.821177	0.387600	0.451354
2	0.446932	0.487047	0.859348	0.841288	0.507001	0.498504
3	0.395020	0.463370	0.874084	0.849973	0.551342	0.521178
4	0.363872	0.439943	0.882755	0.857305	0.573419	0.544035
5	0.341555	0.424772	0.888880	0.864847	0.589154	0.558945
6	0.322384	0.415547	0.894272	0.869721	0.601535	0.571492
7	0.305421	0.414644	0.899179	0.872298	0.612024	0.574822
8	0.294261	0.416168	0.902555	0.875045	0.618754	0.581683
9	0.291126	0.399673	0.903443	0.876345	0.621553	0.586498
10	0.272872	0.394060	0.908800	0.879675	0.630582	0.587214
11	0.260611	0.376135	0.912877	0.882041	0.635074	0.590830
12	0.273200	0.400964	0.909321	0.881530	0.631044	0.592220
13	0.257023	0.392601	0.913557	0.882507	0.638847	0.593982
14	0.243924	0.422015	0.917666	0.881849	0.643759	0.592996
15	0.243311	0.397937	0.917763	0.882703	0.644770	0.596468
16	0.241356	0.421873	0.918375	0.883975	0.645510	0.597394
17	0.231424	0.414038	0.921524	0.885303	0.649959	0.598632
18	0.222160	0.438625	0.924317	0.883636	0.654480	0.600497
19	0.210447	0.445937	0.928073	0.882530	0.659049	0.597592
20	0.216100	0.398553	0.926203	0.887393	0.655145	0.603113
21	0.207300	0.411369	0.929002	0.886538	0.661475	0.603030
22	0.195865	0.420631	0.932586	0.888399	0.666622	0.606636
23	0.192379	0.441264	0.933525	0.885190	0.668409	0.600985
24	0.192788	0.449179	0.933342	0.887534	0.668595	0.604768
25	0.205586	0.423968	0.929196	0.886819	0.663800	0.604595
26	0.188356	0.424501	0.934566	0.891034	0.670956	0.612273
27	0.180764	0.482695	0.937027	0.890825	0.674767	0.608022
28	0.175795	0.482153	0.938599	0.890006	0.677881	0.608848
29	0.173187	0.493097	0.939261	0.891628	0.679153	0.609216
30	0.172028	0.478571	0.939554	0.889210	0.680056	0.610632
