Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.807246	0.616196	0.739460	0.807330	0.372265	0.437028
2	0.477213	0.540478	0.849959	0.826438	0.498694	0.488983
3	0.424086	0.497279	0.865048	0.839311	0.538584	0.521925
4	0.392806	0.472260	0.873947	0.847301	0.559914	0.536561
5	0.370549	0.456201	0.880306	0.852689	0.574622	0.546755
6	0.352855	0.444639	0.885411	0.856708	0.586403	0.554109
7	0.337804	0.436269	0.889795	0.859866	0.596448	0.560072
8	0.324570	0.431940	0.893639	0.861957	0.605005	0.564391
9	0.312567	0.430047	0.897149	0.863479	0.612519	0.567703
10	0.301469	0.430549	0.900429	0.864499	0.619299	0.569709
11	0.291122	0.430072	0.903547	0.865767	0.625531	0.572338
12	0.281798	0.432834	0.906378	0.866373	0.630961	0.573281
