Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.779565	0.607891	0.750155	0.809423	0.377697	0.437019
2	0.475285	0.547218	0.850372	0.826121	0.501695	0.489415
3	0.426378	0.513136	0.864265	0.836628	0.537870	0.517562
4	0.395682	0.486022	0.873057	0.845098	0.559876	0.534072
5	0.372539	0.464959	0.879688	0.851329	0.575833	0.546037
6	0.353820	0.448129	0.885105	0.856404	0.588707	0.554928
7	0.338031	0.436967	0.889727	0.860011	0.599527	0.561132
8	0.324400	0.430227	0.893693	0.862283	0.608585	0.565092
9	0.312239	0.427824	0.897213	0.863700	0.616348	0.567777
10	0.301075	0.428309	0.900475	0.864493	0.623080	0.569480
11	0.290574	0.430000	0.903595	0.864934	0.629205	0.571301
12	0.280920	0.432840	0.906471	0.865388	0.634565	0.572427
13	0.271957	0.436443	0.909170	0.865359	0.639343	0.572711
14	0.263767	0.441276	0.911684	0.865427	0.643511	0.573453
15	0.256015	0.445827	0.914022	0.865731	0.647169	0.573893
16	0.249149	0.453004	0.916096	0.865303	0.650173	0.573747
17	0.244101	0.453345	0.917480	0.865316	0.651929	0.575146
18	0.239218	0.451777	0.918917	0.866276	0.653371	0.574176
19	0.237317	0.454421	0.919288	0.866783	0.652532	0.573734
20	0.239177	0.460480	0.918348	0.867672	0.650235	0.576593
21	0.233743	0.457776	0.920033	0.868682	0.652968	0.578695
22	0.224828	0.465959	0.923133	0.868865	0.657568	0.578975
23	0.217155	0.473364	0.925733	0.868676	0.661455	0.578372
24	0.209341	0.486246	0.928383	0.868315	0.665107	0.578064
25	0.202306	0.499031	0.930758	0.867930	0.668430	0.576939
26	0.196481	0.514080	0.932729	0.867557	0.671138	0.575968
27	0.191644	0.518734	0.934305	0.866826	0.673330	0.574522
28	0.188985	0.535400	0.935055	0.866027	0.674428	0.572077
29	0.190258	0.527105	0.934344	0.864086	0.673607	0.567824
30	0.196902	0.530831	0.931643	0.864168	0.669576	0.565882
