Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.805615	0.697604	0.734955	0.792634	0.324186	0.416535
2	0.538992	0.639566	0.830280	0.808313	0.438311	0.442302
3	0.486679	0.604143	0.843970	0.816722	0.465037	0.461425
4	0.457153	0.597215	0.851770	0.817849	0.489503	0.481045
5	0.431414	0.591931	0.859370	0.823838	0.504099	0.495935
6	0.409500	0.573023	0.865694	0.830537	0.514404	0.488514
7	0.378606	0.552893	0.875463	0.836413	0.523848	0.495005
8	0.365104	0.550363	0.879104	0.839728	0.527364	0.489629
9	0.348131	0.508831	0.884850	0.845458	0.534020	0.499056
10	0.337304	0.513162	0.888147	0.847773	0.540459	0.498142
11	0.327064	0.510065	0.890756	0.848646	0.544265	0.503764
12	0.314615	0.542143	0.894426	0.848260	0.550182	0.509061
13	0.307638	0.543789	0.896086	0.853739	0.553504	0.505487
