Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.644509	0.457397	0.790774	0.855020	0.434838	0.514094
2	0.333705	0.385319	0.896697	0.884723	0.606578	0.611315
3	0.279658	0.354531	0.911826	0.897927	0.658381	0.642195
4	0.251333	0.337364	0.919390	0.905042	0.681087	0.663258
5	0.232014	0.340636	0.924570	0.906162	0.696576	0.664127
6	0.219177	0.332630	0.927925	0.905379	0.705070	0.665844
7	0.209031	0.302195	0.930402	0.913229	0.712227	0.688147
8	0.194972	0.308974	0.934681	0.915892	0.720661	0.695556
9	0.189999	0.323167	0.936154	0.916585	0.722384	0.701191
10	0.180257	0.342269	0.938909	0.917467	0.727568	0.702588
11	0.169302	0.364938	0.942431	0.918692	0.732223	0.703911
12	0.168237	0.333881	0.942543	0.919152	0.732737	0.709624
13	0.155652	0.331769	0.946743	0.918391	0.737973	0.708102
14	0.152634	0.395053	0.947521	0.920687	0.738300	0.716511
15	0.144158	0.436049	0.950194	0.920985	0.742374	0.719520
16	0.132989	0.432710	0.953837	0.922301	0.747669	0.722192
17	0.134699	0.384168	0.953267	0.917333	0.748089	0.711407
18	0.125413	0.455503	0.956265	0.922021	0.751918	0.721930
19	0.118195	0.391826	0.958426	0.922388	0.755004	0.719965
20	0.119718	0.474103	0.958026	0.921383	0.754840	0.718912
21	0.108872	0.495248	0.961248	0.920932	0.759484	0.715918
22	0.098163	0.541998	0.964729	0.921513	0.765390	0.715014
23	0.097267	0.539910	0.964952	0.920639	0.766328	0.710415
24	0.116381	0.484907	0.958789	0.917421	0.755862	0.708841
25	0.093025	0.478226	0.966253	0.920543	0.768745	0.716941
26	0.084625	0.504767	0.968992	0.918903	0.774257	0.715074
27	0.080506	0.553683	0.970310	0.915858	0.777152	0.709464
28	0.090238	0.421494	0.967043	0.908100	0.771237	0.695012
29	0.085107	0.519761	0.968692	0.916205	0.775021	0.705369
30	0.076659	0.599483	0.971497	0.917979	0.779784	0.705282
