Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.467836	0.434685	0.820913	0.861935	0.523063	0.557609
2	0.377499	0.395537	0.851492	0.874594	0.587141	0.588967
3	0.354969	0.368844	0.859450	0.882362	0.606557	0.599955
4	0.339697	0.354827	0.864947	0.886572	0.618272	0.608555
5	0.328074	0.342425	0.869227	0.888083	0.625616	0.611574
6	0.317007	0.351711	0.873326	0.889711	0.631631	0.616841
7	0.307372	0.339737	0.876729	0.890729	0.636129	0.617879
8	0.297651	0.362443	0.880173	0.891955	0.640801	0.617958
9	0.288338	0.352205	0.883530	0.889116	0.643581	0.616706
10	0.278690	0.372703	0.887072	0.891296	0.647802	0.620067
11	0.268504	0.375214	0.891011	0.891677	0.651441	0.619231
12	0.258488	0.379642	0.894871	0.891712	0.655877	0.617928
13	0.248045	0.401368	0.898897	0.891605	0.660644	0.621708
14	0.240501	0.377006	0.901877	0.889017	0.663576	0.619979
15	0.234056	0.422036	0.904521	0.890726	0.666708	0.621472
16	0.229169	0.436262	0.906505	0.890835	0.668358	0.623869
17	0.223877	0.436870	0.908636	0.892381	0.670381	0.623024
18	0.218108	0.424501	0.910962	0.891749	0.673540	0.621634
19	0.213586	0.423191	0.912794	0.892635	0.676001	0.623200
20	0.208747	0.429849	0.914739	0.891274	0.678038	0.624060
21	0.205886	0.409874	0.916010	0.890168	0.679098	0.619338
22	0.201549	0.437283	0.917682	0.890832	0.681599	0.621440
23	0.196672	0.440075	0.919663	0.890754	0.683779	0.625868
24	0.194639	0.444789	0.920488	0.889659	0.684946	0.620318
25	0.192296	0.463702	0.921502	0.889810	0.685808	0.621432
26	0.187775	0.395968	0.923368	0.888495	0.687642	0.617386
27	0.185544	0.447935	0.924198	0.891046	0.689101	0.619639
28	0.183052	0.454862	0.925271	0.891458	0.691265	0.620612
29	0.180576	0.456945	0.926227	0.890813	0.692057	0.622581
30	0.177772	0.471267	0.927351	0.891943	0.693338	0.624923
