Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.717971	0.567788	0.771118	0.821865	0.401698	0.455399
2	0.439367	0.502962	0.862214	0.840197	0.521661	0.502334
3	0.389502	0.471210	0.876254	0.849935	0.555310	0.525245
4	0.358875	0.446262	0.884499	0.857519	0.575788	0.543971
5	0.334410	0.423019	0.891209	0.864371	0.592096	0.559105
6	0.312841	0.414586	0.897193	0.867750	0.605914	0.569361
7	0.294145	0.408819	0.902624	0.870177	0.617040	0.576862
8	0.281041	0.402409	0.906466	0.871385	0.624058	0.579888
9	0.273381	0.418453	0.908602	0.870544	0.627787	0.580168
10	0.258559	0.406944	0.913378	0.870489	0.633470	0.586112
11	0.255508	0.431974	0.914568	0.872759	0.637004	0.589133
