Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.721332	0.562058	0.766302	0.824373	0.391529	0.461369
2	0.430916	0.526919	0.864721	0.838083	0.521026	0.516670
3	0.382843	0.484485	0.878377	0.849131	0.558474	0.543243
4	0.352295	0.465179	0.886642	0.854573	0.579099	0.554329
5	0.329279	0.460351	0.892866	0.857025	0.593800	0.560442
6	0.311161	0.445201	0.897855	0.861508	0.605041	0.576793
7	0.297239	0.449198	0.901868	0.860097	0.613232	0.572419
8	0.281985	0.439260	0.906153	0.868072	0.621417	0.591230
9	0.273552	0.443250	0.908675	0.867609	0.625070	0.589803
10	0.269820	0.451355	0.909748	0.868347	0.628106	0.592545
