Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.940201	0.751688	0.547781	0.609280	0.377203	0.438104
2	0.573318	0.450437	0.711890	0.784728	0.552662	0.645722
3	0.392184	0.367336	0.816173	0.826010	0.689436	0.703592
4	0.333682	0.330255	0.844559	0.845914	0.730940	0.732972
5	0.303577	0.307970	0.860168	0.858916	0.754644	0.752719
6	0.284683	0.292686	0.870754	0.868364	0.771093	0.767353
7	0.271489	0.281319	0.878438	0.875516	0.783227	0.778593
8	0.261596	0.272379	0.884370	0.881310	0.792710	0.787805
9	0.253790	0.265052	0.889076	0.885982	0.800302	0.795303
10	0.247396	0.258873	0.892973	0.889851	0.806641	0.801559
11	0.242015	0.253549	0.896309	0.893140	0.812101	0.806914
12	0.237395	0.248888	0.899172	0.895998	0.816814	0.811591
13	0.233359	0.244751	0.901646	0.898468	0.820907	0.815652
14	0.229779	0.241034	0.903857	0.900664	0.824580	0.819280
15	0.226563	0.237665	0.905823	0.902593	0.827857	0.822478
16	0.223646	0.234588	0.907582	0.904396	0.830801	0.825477
17	0.220978	0.231760	0.909204	0.906023	0.833523	0.828191
18	0.218519	0.229144	0.910670	0.907505	0.835991	0.830672
19	0.216241	0.226714	0.912007	0.908890	0.838247	0.832996
20	0.214119	0.224447	0.913239	0.910151	0.840331	0.835116
21	0.212133	0.222325	0.914350	0.911300	0.842214	0.837054
22	0.210268	0.220331	0.915383	0.912371	0.843969	0.838862
