Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.396156	0.158937	0.791171	0.932445	0.654493	0.873439
2	0.139033	0.116734	0.942700	0.953259	0.891610	0.910692
3	0.108253	0.109872	0.955321	0.957854	0.914463	0.919116
4	0.086445	0.088840	0.965568	0.967329	0.933429	0.936725
5	0.074596	0.082080	0.970894	0.970489	0.943435	0.942670
6	0.074487	0.075639	0.970810	0.971559	0.943276	0.944692
7	0.073587	0.072879	0.971296	0.972347	0.944195	0.946182
8	0.055489	0.069793	0.977922	0.974729	0.956798	0.950703
9	0.049203	0.070521	0.980276	0.974972	0.961315	0.951166
10	0.044427	0.070755	0.982060	0.974973	0.964753	0.951168
