Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.544073	0.213607	0.703195	0.911487	0.542252	0.837368
2	0.154650	0.123453	0.938959	0.950466	0.884941	0.905607
3	0.120999	0.114435	0.950684	0.955041	0.906004	0.913951
4	0.091141	0.091776	0.963091	0.964902	0.928810	0.932183
5	0.075834	0.079659	0.969661	0.968267	0.941110	0.938486
6	0.066383	0.080472	0.973436	0.968961	0.948247	0.939792
7	0.061691	0.077788	0.975235	0.969528	0.951666	0.940858
8	0.061693	0.079536	0.974997	0.968222	0.951213	0.938402
9	0.070207	0.066893	0.971437	0.973510	0.944461	0.948387
10	0.056878	0.071192	0.976602	0.972094	0.954274	0.945704
11	0.054096	0.066261	0.977771	0.975028	0.956509	0.951273
12	0.045099	0.067173	0.981082	0.975236	0.962866	0.951669
13	0.040832	0.066739	0.982687	0.976025	0.965963	0.953173
14	0.037018	0.064672	0.984035	0.976547	0.968572	0.954168
15	0.034405	0.063194	0.984911	0.976741	0.970271	0.954539
16	0.033099	0.064041	0.985505	0.976976	0.971423	0.954988
17	0.031335	0.067284	0.986025	0.976901	0.972435	0.954845
