Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.779520	0.626671	0.750948	0.812880	0.377965	0.452089
2	0.469547	0.549338	0.853428	0.831542	0.499785	0.511297
3	0.415785	0.504931	0.868942	0.839910	0.540098	0.532221
4	0.380860	0.493786	0.878266	0.847751	0.563460	0.548243
5	0.354108	0.477279	0.885425	0.854100	0.580618	0.561998
6	0.333390	0.458594	0.890948	0.858078	0.594001	0.570147
7	0.316007	0.471896	0.895801	0.858887	0.604701	0.571824
8	0.304764	0.442230	0.898981	0.864519	0.609251	0.577964
9	0.290911	0.457459	0.903038	0.865403	0.617414	0.583954
10	0.276391	0.460172	0.907651	0.870199	0.624900	0.589485
11	0.261394	0.463617	0.912536	0.873396	0.631343	0.596615
12	0.250806	0.478682	0.915871	0.871572	0.637174	0.594097
13	0.242820	0.481022	0.918482	0.874673	0.640957	0.597683
14	0.233021	0.490656	0.921145	0.875860	0.645296	0.599319
15	0.223853	0.474443	0.924024	0.880321	0.650381	0.599276
16	0.230808	0.497395	0.921793	0.875735	0.647971	0.597170
17	0.232360	0.519310	0.920923	0.879603	0.648970	0.598862
18	0.210968	0.505199	0.927936	0.882384	0.657716	0.603617
19	0.200779	0.494617	0.931224	0.883236	0.663370	0.604336
20	0.193218	0.502374	0.933579	0.885329	0.667349	0.606259
21	0.185404	0.524107	0.935920	0.884978	0.671702	0.608275
22	0.182169	0.522860	0.936857	0.881936	0.673393	0.600713
23	0.200529	0.537257	0.931151	0.877559	0.666003	0.601667
24	0.182253	0.530552	0.936631	0.883594	0.674053	0.603809
25	0.175175	0.521314	0.938859	0.884693	0.678502	0.608498
26	0.171090	0.575096	0.939948	0.881038	0.680419	0.597186
27	0.171119	0.555088	0.939892	0.883285	0.680527	0.599848
28	0.169415	0.590577	0.940326	0.882051	0.682006	0.596856
29	0.165711	0.590245	0.941509	0.884305	0.684996	0.602748
30	0.164221	0.598039	0.941948	0.884682	0.685668	0.606839
