Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.551717	0.262110	0.710301	0.886680	0.550749	0.796428
2	0.191871	0.150022	0.920675	0.939764	0.853009	0.886372
3	0.138224	0.122146	0.942672	0.948973	0.891561	0.902901
4	0.117441	0.114081	0.950794	0.954038	0.906204	0.912115
5	0.091274	0.096099	0.962754	0.962120	0.928184	0.927005
6	0.075120	0.090669	0.970053	0.965053	0.941847	0.932466
7	0.067236	0.088828	0.973227	0.965608	0.947850	0.933504
8	0.074149	0.085957	0.969883	0.966708	0.941527	0.935561
9	0.077224	0.076262	0.968817	0.970775	0.939520	0.943210
10	0.057637	0.073129	0.976691	0.972399	0.954444	0.946281
11	0.050449	0.082166	0.979555	0.970516	0.959928	0.942721
