Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.517044	0.244110	0.728196	0.901013	0.572569	0.819858
2	0.196844	0.163599	0.920507	0.935484	0.852721	0.878788
3	0.157541	0.149535	0.936813	0.939485	0.881136	0.885876
4	0.139727	0.140175	0.943602	0.943156	0.893226	0.892427
5	0.125632	0.128514	0.949026	0.948074	0.902996	0.901274
6	0.113989	0.117653	0.953884	0.952638	0.911834	0.909559
7	0.105014	0.111507	0.957728	0.955159	0.918885	0.914167
8	0.098580	0.108165	0.960373	0.956485	0.923766	0.916598
9	0.093232	0.107051	0.962517	0.957130	0.927743	0.917784
10	0.088574	0.106628	0.964307	0.957560	0.931073	0.918576
11	0.084391	0.105845	0.965903	0.958019	0.934054	0.919421
12	0.080296	0.104047	0.967517	0.958822	0.937078	0.920901
13	0.076411	0.101248	0.969104	0.960023	0.940060	0.923120
14	0.072830	0.098735	0.970573	0.961044	0.942829	0.925010
15	0.069657	0.096585	0.971885	0.961815	0.945308	0.926438
16	0.066810	0.094798	0.973013	0.962570	0.947444	0.927841
17	0.064084	0.092630	0.974096	0.963520	0.949501	0.929607
18	0.061555	0.090919	0.975118	0.964368	0.951444	0.931188
19	0.059263	0.089526	0.976067	0.965177	0.953252	0.932697
20	0.057324	0.088304	0.976905	0.965857	0.954853	0.933969
21	0.055744	0.087610	0.977562	0.966145	0.956108	0.934508
22	0.054425	0.088185	0.978107	0.965938	0.957151	0.934120
23	0.053575	0.091397	0.978366	0.964645	0.957648	0.931704
