Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.922480	0.771125	0.521271	0.537545	0.352513	0.367564
2	0.710532	0.658572	0.571136	0.605347	0.399714	0.434048
3	0.605261	0.550281	0.648821	0.687722	0.480188	0.524067
4	0.479171	0.410036	0.737871	0.786220	0.584624	0.647745
5	0.335402	0.273443	0.840025	0.884336	0.724175	0.792654
6	0.228934	0.201446	0.908033	0.922993	0.831558	0.856998
7	0.180572	0.171759	0.929455	0.934347	0.868207	0.876783
8	0.157321	0.154555	0.937674	0.940633	0.882661	0.887921
9	0.142314	0.142096	0.942987	0.945266	0.892123	0.896212
10	0.130653	0.132327	0.947433	0.948741	0.900116	0.902481
11	0.120766	0.124411	0.951495	0.951536	0.907479	0.907552
12	0.112331	0.118111	0.955079	0.953781	0.914021	0.911647
13	0.105001	0.112816	0.958173	0.955742	0.919705	0.915235
14	0.098359	0.108119	0.961009	0.957590	0.924945	0.918631
15	0.092417	0.104258	0.963349	0.959324	0.929289	0.921827
16	0.087390	0.101650	0.965215	0.960827	0.932769	0.924607
17	0.083474	0.099149	0.966660	0.962116	0.935472	0.926997
18	0.080660	0.096176	0.967746	0.963193	0.937508	0.929000
19	0.077517	0.095788	0.968924	0.963798	0.939722	0.930126
20	0.074422	0.095609	0.969987	0.964253	0.941722	0.930973
21	0.072132	0.102171	0.970908	0.963385	0.943461	0.929356
