Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	2823.832120	2675.164825	0.263419	0.274246	0.085369	0.094716
2	2335.907651	2614.162839	0.299432	0.284425	0.110358	0.101881
3	2296.846412	2446.310797	0.302814	0.305602	0.115565	0.119657
4	2164.357752	2384.143245	0.319777	0.308786	0.128814	0.120920
5	2143.877775	2427.199996	0.318852	0.311870	0.128618	0.125181
6	2120.907136	2323.769404	0.319527	0.308531	0.130814	0.120747
7	2092.472453	2431.752353	0.327450	0.302460	0.136464	0.119655
8	2096.783217	2253.448590	0.325143	0.320774	0.134340	0.127980
9	2111.963399	2256.179760	0.323378	0.319804	0.133856	0.131392
10	2080.543734	2148.051701	0.325675	0.338364	0.137218	0.142944
11	2101.024926	2227.598837	0.322719	0.323781	0.134323	0.132660
12	2092.580477	2207.779531	0.326128	0.333949	0.136641	0.142112
13	2097.446699	2310.705090	0.327535	0.316249	0.137529	0.131651
