Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.554053	0.285688	0.748737	0.870723	0.598385	0.771045
2	0.242633	0.232376	0.897858	0.905994	0.814649	0.828143
3	0.217363	0.214543	0.913441	0.915575	0.840673	0.844295
4	0.204303	0.203482	0.919888	0.920790	0.851659	0.853207
5	0.195321	0.195764	0.923741	0.924219	0.858288	0.859114
6	0.188512	0.189925	0.926491	0.926736	0.863050	0.863474
7	0.183024	0.185259	0.928674	0.928720	0.866846	0.866925
8	0.178415	0.181382	0.930446	0.930321	0.869938	0.869720
9	0.174453	0.178106	0.931951	0.931623	0.872574	0.871999
10	0.171004	0.175280	0.933213	0.932725	0.874788	0.873931
11	0.167950	0.172811	0.934322	0.933664	0.876739	0.875582
12	0.165206	0.170600	0.935288	0.934521	0.878443	0.877090
13	0.162718	0.168602	0.936154	0.935250	0.879971	0.878375
14	0.160442	0.166767	0.936932	0.935926	0.881346	0.879568
15	0.158344	0.165053	0.937645	0.936546	0.882610	0.880664
16	0.156396	0.163446	0.938287	0.937131	0.883747	0.881700
17	0.154584	0.161938	0.938918	0.937686	0.884868	0.882682
18	0.152886	0.160522	0.939521	0.938195	0.885941	0.883585
19	0.151286	0.159170	0.940113	0.938686	0.886994	0.884456
20	0.149770	0.157882	0.940652	0.939151	0.887954	0.885282
