Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.701221	0.582445	0.776542	0.819774	0.402001	0.460038
2	0.436810	0.530603	0.863367	0.836578	0.521885	0.509958
3	0.387008	0.486420	0.877113	0.848499	0.557775	0.538130
4	0.354695	0.460508	0.885946	0.855466	0.579277	0.555330
5	0.330109	0.457077	0.892790	0.859207	0.595436	0.567341
6	0.312272	0.436038	0.897534	0.864097	0.606508	0.579785
7	0.297514	0.450939	0.901553	0.867938	0.616006	0.585702
8	0.285459	0.446350	0.905112	0.867429	0.621977	0.586966
9	0.274672	0.481542	0.908007	0.866755	0.625226	0.589229
10	0.265500	0.461227	0.911181	0.868030	0.632148	0.591752
11	0.252893	0.490857	0.915049	0.866857	0.636870	0.587398
12	0.241800	0.466745	0.918458	0.873556	0.643742	0.601788
13	0.241699	0.463044	0.918453	0.875204	0.643144	0.601970
14	0.231670	0.489484	0.921396	0.874174	0.649159	0.604322
15	0.217395	0.457883	0.926157	0.879908	0.655641	0.606107
16	0.208332	0.483959	0.928793	0.881971	0.659407	0.605286
17	0.208521	0.479150	0.928590	0.883534	0.660281	0.602286
18	0.203117	0.507454	0.930453	0.885355	0.663484	0.601626
19	0.196699	0.475407	0.932347	0.885857	0.666370	0.606840
20	0.192504	0.483860	0.933577	0.884311	0.668696	0.606806
21	0.183100	0.523923	0.936560	0.881567	0.673945	0.602946
22	0.176965	0.533859	0.938381	0.881817	0.677801	0.603550
23	0.173436	0.511903	0.939411	0.882154	0.680024	0.608722
24	0.180633	0.440230	0.937406	0.870803	0.677644	0.596059
25	0.186961	0.524941	0.934788	0.882721	0.674294	0.600618
26	0.168876	0.528223	0.940646	0.886633	0.682358	0.610009
27	0.158570	0.548870	0.944026	0.887208	0.689379	0.610140
28	0.154805	0.545623	0.945111	0.886999	0.692253	0.611402
29	0.158118	0.532061	0.943831	0.886491	0.690719	0.612053
30	0.154611	0.555244	0.944930	0.885386	0.692024	0.606706
