Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.705300	0.569906	0.774212	0.824551	0.393437	0.461720
2	0.434325	0.522824	0.864133	0.839152	0.518196	0.516298
3	0.383064	0.476975	0.878303	0.849356	0.558164	0.540374
4	0.351191	0.455056	0.886797	0.854971	0.578633	0.554264
5	0.329327	0.449293	0.892636	0.858909	0.592405	0.562536
6	0.310234	0.428567	0.897777	0.864744	0.604181	0.578022
7	0.293383	0.438617	0.902688	0.864152	0.613342	0.579757
8	0.287947	0.446148	0.904172	0.867124	0.616889	0.582454
9	0.273944	0.427499	0.908723	0.868792	0.623216	0.589245
10	0.271553	0.442186	0.909647	0.871069	0.626818	0.593843
11	0.253647	0.442361	0.914893	0.875936	0.635304	0.598813
12	0.242544	0.453581	0.918315	0.880202	0.640295	0.602299
13	0.230728	0.439903	0.921996	0.880443	0.645921	0.602736
14	0.226871	0.427538	0.923367	0.881234	0.648549	0.603630
15	0.214181	0.456192	0.927079	0.881975	0.654778	0.606611
16	0.208753	0.481753	0.928826	0.882793	0.658301	0.605579
17	0.201356	0.468139	0.931015	0.887267	0.661447	0.602252
18	0.197374	0.491149	0.932117	0.885925	0.663559	0.599871
19	0.204630	0.513875	0.929723	0.886319	0.660804	0.597461
20	0.192327	0.508490	0.933550	0.887904	0.666635	0.604570
21	0.180744	0.514348	0.937341	0.888055	0.673790	0.606272
22	0.173982	0.482571	0.939378	0.884556	0.678033	0.598322
23	0.171166	0.536706	0.940153	0.884872	0.680092	0.596184
24	0.172916	0.489117	0.939444	0.884239	0.679725	0.608127
25	0.165958	0.543050	0.941636	0.881686	0.683312	0.604822
26	0.193487	0.438339	0.933237	0.876749	0.670115	0.601540
27	0.179632	0.467245	0.937274	0.885137	0.675203	0.607933
28	0.167112	0.517668	0.941082	0.886909	0.682902	0.609243
29	0.153931	0.553055	0.945438	0.885367	0.691245	0.608606
30	0.148340	0.559577	0.947161	0.887282	0.695099	0.609313
