Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.724233	0.580436	0.767656	0.819761	0.389532	0.452525
2	0.440281	0.526268	0.862205	0.837376	0.512838	0.511281
3	0.390839	0.493136	0.876244	0.847979	0.553462	0.541273
4	0.359334	0.469505	0.885019	0.854320	0.574988	0.557359
5	0.334097	0.455950	0.891774	0.857045	0.591646	0.562589
6	0.315494	0.461706	0.896590	0.860048	0.602929	0.571516
7	0.300563	0.475270	0.900654	0.861900	0.611251	0.579528
8	0.289549	0.460368	0.903757	0.867138	0.617999	0.587131
9	0.277904	0.460953	0.907328	0.867173	0.624446	0.590989
10	0.269689	0.503318	0.909702	0.865264	0.626927	0.581067
