Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.508544	0.212532	0.713857	0.915582	0.555037	0.844308
2	0.167147	0.140084	0.934428	0.944167	0.876926	0.894238
3	0.126577	0.122895	0.949560	0.950661	0.903964	0.905961
4	0.102507	0.112810	0.958653	0.955566	0.920590	0.914912
5	0.094453	0.108388	0.960832	0.957128	0.924617	0.917781
6	0.084554	0.105610	0.964246	0.960078	0.930961	0.923222
7	0.086792	0.103220	0.963124	0.958940	0.928871	0.921120
8	0.071895	0.096434	0.969122	0.961916	0.940095	0.926626
9	0.065475	0.090052	0.971315	0.965006	0.944229	0.932379
10	0.061776	0.093969	0.972530	0.963577	0.946530	0.929714
11	0.066331	0.098855	0.971123	0.963251	0.943867	0.929108
