Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.693443	0.596131	0.780547	0.819257	0.397794	0.462035
2	0.430029	0.552917	0.865533	0.832552	0.519747	0.509619
3	0.380300	0.510749	0.878922	0.844004	0.558468	0.537652
4	0.348880	0.475246	0.887436	0.855753	0.580763	0.558819
5	0.323498	0.452083	0.894701	0.862209	0.598506	0.572531
6	0.304313	0.438847	0.899827	0.866921	0.609983	0.584836
7	0.288058	0.437773	0.904769	0.869675	0.619130	0.577968
8	0.280283	0.430913	0.907026	0.869842	0.622564	0.593805
9	0.271494	0.447896	0.909633	0.866932	0.626985	0.593936
10	0.258194	0.436724	0.913434	0.873544	0.633822	0.597707
11	0.245676	0.417105	0.917500	0.877717	0.639020	0.598491
12	0.244328	0.403549	0.917834	0.879951	0.640508	0.599462
13	0.225752	0.445120	0.923583	0.880889	0.649404	0.602949
14	0.227251	0.456111	0.923031	0.883871	0.648254	0.603527
