Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.703855	0.560595	0.772219	0.826774	0.395667	0.463459
2	0.425574	0.500568	0.866778	0.843810	0.524594	0.508030
3	0.376380	0.464865	0.880186	0.854069	0.562002	0.529790
4	0.344673	0.447415	0.888428	0.860649	0.584579	0.549660
5	0.319100	0.428224	0.895420	0.867076	0.601380	0.565953
6	0.298943	0.415706	0.901395	0.869838	0.613324	0.573450
7	0.287491	0.439106	0.904611	0.872068	0.619157	0.575285
8	0.2977	0.3624	0.907781	0.875062	0.6408	0.6180
9	0.2883	0.3522	0.912176	0.877296	0.6436	0.6167
10	0.2787	0.3727	0.914144	0.877122	0.6478	0.6201

